youtube.com,216.58.192.46
facebook.com,69.171.230.68
live.com,65.55.206.154
yahoo.com,98.139.183.24
wikipedia.org,208.80.154.224
baidu.com,123.125.114.144
msn.com,23.101.196.141
blogspot.com,216.58.219.41
qq.com,163.177.65.160
microsoft.com,134.170.188.221
taobao.com,140.205.220.96
sina.com.cn,202.108.33.60
bing.com,204.79.197.200
soso.com,106.120.151.169
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.149.198
youku.com,101.227.10.19
mozilla.com,63.245.213.24
sdjjdsaf.com,101.227.10.19
wmfo.org,23.92.21.128
amazon.com,176.32.103.205
wordpress.com,192.0.78.9
tudou.com,123.126.98.146
yahoo.co.jp,183.79.135.206
sohu.com,220.181.90.240
andysayler.com,162.243.49.20
apple.com,17.172.224.47
windows.com,104.43.142.34
hao123.com,123.125.115.150
ebay.com,66.211.160.87
xunlei.com,119.188.94.169
pps.tv,58.83.190.154
fc2.com,54.219.157.196
56.com,180.153.21.176
sogou.com,106.120.188.49
paypal.com,66.211.169.66
tmall.com,110.75.114.89
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.25.87
